[2026-04-04T03:51:50.638Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&id=eq.5676cfd9-e2ad-4e5d-b6b9-617121950d57 → 200 (194ms, 264B)
[2026-04-04T03:52:10.883Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (3ms, 49900B)
[2026-04-04T03:52:38.132Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/functions/v1/parse-invitation → 401 (486ms, 36B)
[2026-04-04T03:53:28.256Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/functions/v1/parse-invitation → 401 (378ms, 36B)
[2026-04-04T04:13:57.545Z] GET http://localhost:8081/ → 200 (7ms, 1280B)
[2026-04-04T04:13:57.554Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → 200 (155ms, 5792873B)
[2026-04-04T04:13:57.920Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (3ms, 50004B)
[2026-04-04T04:13:57.920Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (3ms, 49900B)
[2026-04-04T04:13:57.920Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (11ms, 3164924B)
[2026-04-04T04:13:57.920Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (10ms, 2961780B)
[2026-04-04T04:13:57.963Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → pending (?ms, ?B)
[2026-04-04T04:13:58.424Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.00a50445-5853-43ab-bfc1-a33f2cb5324f&order=date.asc → 200 (597ms, 266B)
[2026-04-04T04:14:50.759Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (250ms, 319B)
